,LIBELLE
869,Lunel
870,Champ-de-Mars-Tour-Eiffel
871,St-Gilles-Croix-de-Vie
872,Longueville
873,Évry
874,Breuil-Romain
875,L'Estaque
876,St-Jean-de-Luz-Ciboure
877,Thésée
878,Pezou
879,Aubigny-au-Bac
880,Meuse-TGV
881,Pessac
882,Étival-Clairefontaine
883,Herblay
884,Strasbourg-Ville
885,Cessieu
886,Chemin-Peseux
887,Bazoches
888,Gemeaux
889,Clermont-les-Fermes
890,Le Douhet-Écoyeux
891,Monthois
892,Rosny-sous-Bois
893,Troyes
894,Ailly-sur-Noye
895,Éloyes
896,Onnaing
897,Aytré
898,Lezennes
899,La Garde
900,Grandvilliers
901,Serdinya
902,Abancourt
903,Valence-TGV
904,Saillat-Chassenon
905,St-Armel
906,Bollène-la-Croisière
907,Nesle
908,Golfech
909,Étang
910,Louverné
911,Tessonnières
912,Goncelin
913,La Villette-St-Prest
914,Fenouillet
915,Connantre
916,Lozanne
917,Anould
918,Roquefort (Landes)
919,Gironde
920,Vorey
921,Coursan
922,Boucoiran
923,Jacques-Monod-La Demi-Lieue
924,Anse
925,Gièvres
926,Cannes-la-Bocca
927,Ciry-Sermoise
928,Mouroux
929,Petit-Couronne
930,Empalot
931,Paris-St-Lazare
932,Heilly
933,Toury
934,Muret
935,Abbaretz
936,Beaurainville
937,Saales
938,Teillé
939,La Seyne-Six-Fours
941,Étréchy
942,Jatxou
943,Bouray
944,Conflans-Jarny
945,Coarraze-Nay
946,Louvres
947,Civry-St-Cloud
948,Penne
949,Houlgate
950,Maillé
951,Chasseradès
952,Coudekerque-Branche
953,Compiègne
954,St-Jean-de-Verges
955,Brion-Montréal-la-Cluse
956,La Teste
957,Les Grésillons
958,Belfort-Montbéliard-TGV
959,Rosult
960,St-Saviol
961,Calais-Fréthun
962,Joncet
963,Labarthe-Inard
964,Alixan-Châteauneuf-d'Isère
965,Cinq-Mars-la-Pile
966,St-André-le-Gaz
967,Rocamadour-Padirac
968,La Possonnière
969,L'Hospitalet-près-l'Andorre
970,Labenne
971,Sarrebourg
972,Wattignies-Templemars
973,Dieulouard
974,Villabé
975,Livron
976,Chaponval
977,Pont-du-Château (FRET)
978,Golfe-Juan-Vallauris
979,Tronsanges
980,St-Paul-de-Varax
981,St-Amand-les-Eaux
982,Escaudoeuvres
983,Précy-sur-Oise
984,Lens
985,Blanzy
986,Pont-de-la-Deûle
